CCUST,CBFNAM,CBLNAM,CBCITY,CBSTAT,CBZIP,CBCTRY,CSFNAM,CSLNAM,CSCITY,CSSTAT,CSZIP,CCNTCT,CPHON1,CPHON2,CPHON3,CEMAIL,CDATEAD,CUPDTE,CSTATUS
1000015,Avery,Williams,Columbus,IN,36685,Canada,Riley,Jones,Toledo,PA,42914,Avery Williams,+1-252-294-7939,+1-483-245-1058,+1-541-989-3143,avery.williams1015@sample.org,2023-07-28,2023-09-26,Active
1000016,Cameron,Martinez,Cincinnati,OH,29536,USA,Jamie,Martinez,Cleveland,MI,82420,Cameron Martinez,+1-351-640-3088,+1-242-515-6974,+1-240-566-4441,cameron.martinez1016@example.com,2023-10-28,2023-09-13,Prospect
1000017,Jordan,Garcia,Columbus,KY,31299,USA,Avery,Miller,Dayton,OH,33509,Jordan Garcia,+1-954-540-7745,+1-885-952-5065,+1-473-363-2771,jordan.garcia1017@sample.org,2022-02-22,2023-02-09,Inactive
1000018,Morgan,Brown,Columbus,KY,13101,USA,Cameron,Garcia,Dayton,IN,46517,Morgan Brown,+1-271-991-5573,+1-559-856-9346,+1-609-895-9785,morgan.brown1018@testmail.com,2021-11-09,2023-01-29,Active
1000019,Riley,Williams,Cincinnati,MI,66959,Canada,Parker,Jones,Cleveland,PA,89457,Riley Williams,+1-723-318-7311,+1-790-394-5173,+1-245-925-8144,riley.williams1019@example.com,2020-01-04,2024-06-16,Prospect
1000020,Morgan,Garcia,Cleveland,MI,51145,USA,Jamie,Johnson,Cleveland,MI,50538,Morgan Garcia,+1-882-618-6344,+1-612-913-5844,+1-767-330-4143,morgan.garcia1020@sample.org,2022-05-11,2024-01-24,Prospect
1000021,Taylor,Lopez,Toledo,OH,49829,Canada,Parker,Jones,Columbus,PA,86019,Taylor Lopez,+1-821-870-6279,+1-676-652-8244,+1-891-418-9375,taylor.lopez1021@testmail.com,2022-08-27,2023-06-23,Prospect
1000022,Jordan,Jones,Cincinnati,KY,98184,Canada,Avery,Lopez,Columbus,KY,29313,Jordan Jones,+1-225-247-5011,+1-686-825-2193,+1-666-624-4185,jordan.jones1022@testmail.com,2024-01-11,2024-01-29,Inactive
1000023,Jamie,Brown,Dayton,KY,33053,Canada,Taylor,Smith,Cincinnati,MI,42662,Jamie Brown,+1-324-667-3184,+1-675-883-9702,+1-772-809-6198,jamie.brown1023@example.com,2022-06-25,2024-05-31,Inactive
1000024,Avery,Davis,Cleveland,KY,93579,Canada,Taylor,Davis,Toledo,PA,92149,Avery Davis,+1-444-481-8206,+1-279-930-5681,+1-440-478-6502,avery.davis1024@testmail.com,2021-10-16,2024-07-07,Active
1000025,Taylor,Williams,Columbus,KY,18418,Canada,Morgan,Miller,Dayton,IN,81121,Taylor Williams,+1-677-625-2020,+1-411-630-7381,+1-988-798-1320,taylor.williams1025@sample.org,2023-03-25,2024-01-25,Inactive
1000026,Alex,Garcia,Toledo,MI,89069,USA,Riley,Miller,Dayton,KY,45774,Alex Garcia,+1-646-697-1475,+1-598-544-7624,+1-941-369-8657,alex.garcia1026@testmail.com,2020-09-18,2024-06-30,Active
1000027,Jamie,Lopez,Dayton,KY,70515,USA,Parker,Smith,Cincinnati,IN,59689,Jamie Lopez,+1-535-416-8449,+1-534-545-7211,+1-484-970-7906,jamie.lopez1027@example.com,2021-05-31,2023-03-25,Inactive
1000028,Alex,Martinez,Cincinnati,OH,14067,USA,Alex,Garcia,Columbus,OH,91439,Alex Martinez,+1-356-444-3068,+1-684-885-2874,+1-777-423-8619,alex.martinez1028@example.com,2023-12-03,2023-09-20,Inactive
1000029,Taylor,Lopez,Cleveland,OH,85849,USA,Parker,Johnson,Cleveland,MI,98781,Taylor Lopez,+1-584-606-4249,+1-277-806-4978,+1-304-913-5941,taylor.lopez1029@example.com,2023-11-02,2023-05-04,Prospect
1000030,Alex,Garcia,Cleveland,OH,76317,Canada,Avery,Miller,Cincinnati,PA,74251,Alex Garcia,+1-308-643-6934,+1-850-670-3506,+1-645-380-9548,alex.garcia1030@sample.org,2023-08-25,2023-10-04,Prospect
1000031,Avery,Davis,Toledo,IN,52245,USA,Cameron,Miller,Cincinnati,IN,69087,Avery Davis,+1-449-968-8613,+1-783-824-7209,+1-544-229-9098,avery.davis1031@sample.org,2021-10-27,2023-07-06,Inactive
1000032,Morgan,Garcia,Toledo,IN,82848,USA,Riley,Garcia,Toledo,KY,21221,Morgan Garcia,+1-447-937-7658,+1-700-768-4937,+1-907-687-9041,morgan.garcia1032@testmail.com,2022-07-06,2023-01-18,Active
1000033,Riley,Brown,Toledo,IN,72031,Canada,Jamie,Brown,Dayton,MI,53357,Riley Brown,+1-560-919-8434,+1-477-513-5118,+1-436-323-4155,riley.brown1033@testmail.com,2021-10-08,2023-05-03,Prospect
1000034,Avery,Williams,Dayton,IN,87278,Canada,Morgan,Brown,Cincinnati,KY,48829,Avery Williams,+1-432-569-3939,+1-509-214-9751,+1-329-480-1745,avery.williams1034@sample.org,2020-04-21,2024-07-20,Inactive
1000035,Taylor,Davis,Cleveland,PA,72746,Canada,Jordan,Smith,Cleveland,KY,16734,Taylor Davis,+1-458-689-2869,+1-266-610-9056,+1-275-790-1878,taylor.davis1035@sample.org,2020-11-06,2023-06-02,Prospect
1000036,Riley,Johnson,Dayton,MI,88135,USA,Morgan,Johnson,Toledo,PA,69049,Riley Johnson,+1-653-504-8025,+1-512-782-1986,+1-824-957-2625,riley.johnson1036@sample.org,2021-03-01,2023-08-05,Inactive
1000037,Jordan,Williams,Cincinnati,KY,10350,Canada,Morgan,Williams,Dayton,MI,71592,Jordan Williams,+1-498-233-4792,+1-495-923-5632,+1-919-664-2166,jordan.williams1037@sample.org,2023-11-08,2023-08-28,Inactive
1000038,Parker,Brown,Columbus,KY,44816,USA,Jamie,Johnson,Cincinnati,OH,31747,Parker Brown,+1-514-809-5728,+1-649-327-8679,+1-905-511-7594,parker.brown1038@sample.org,2021-07-11,2024-05-27,Prospect
1000039,Cameron,Davis,Dayton,IN,89129,Canada,Jordan,Lopez,Cincinnati,OH,40005,Cameron Davis,+1-890-789-1339,+1-983-888-5415,+1-790-241-3870,cameron.davis1039@example.com,2022-08-21,2024-06-15,Prospect
1000040,Cameron,Jones,Dayton,OH,71605,Canada,Taylor,Lopez,Dayton,IN,52081,Cameron Jones,+1-886-307-3634,+1-537-621-9117,+1-495-878-7561,cameron.jones1040@testmail.com,2023-01-31,2023-02-07,Inactive
1000041,Jordan,Garcia,Dayton,MI,10150,Canada,Riley,Garcia,Dayton,OH,34586,Jordan Garcia,+1-730-570-9167,+1-840-652-1845,+1-408-473-9998,jordan.garcia1041@example.com,2020-09-25,2023-10-22,Inactive
1000042,Cameron,Johnson,Columbus,IN,82199,USA,Alex,Lopez,Toledo,PA,22217,Cameron Johnson,+1-430-316-8560,+1-320-863-3522,+1-710-933-5781,cameron.johnson1042@example.com,2022-11-08,2023-10-07,Inactive
1000043,Cameron,Davis,Columbus,PA,34983,USA,Morgan,Davis,Cincinnati,IN,64387,Cameron Davis,+1-548-719-5377,+1-202-489-5891,+1-801-793-9022,cameron.davis1043@sample.org,2020-10-31,2024-04-02,Prospect
1000044,Cameron,Garcia,Dayton,PA,52176,USA,Casey,Martinez,Columbus,MI,60196,Cameron Garcia,+1-439-994-7730,+1-244-525-8749,+1-922-590-7325,cameron.garcia1044@sample.org,2023-09-21,2023-06-05,Inactive
1000045,Alex,Williams,Cincinnati,PA,23069,Canada,Avery,Lopez,Cincinnati,KY,63736,Alex Williams,+1-870-358-2225,+1-680-471-6546,+1-838-909-7512,alex.williams1045@testmail.com,2023-08-23,2023-03-24,Inactive
1000046,Avery,Miller,Cincinnati,MI,18968,USA,Casey,Davis,Cleveland,KY,21846,Avery Miller,+1-644-300-2646,+1-654-370-5906,+1-229-247-6314,avery.miller1046@sample.org,2020-04-24,2023-10-28,Inactive
1000047,Casey,Miller,Dayton,MI,99364,USA,Taylor,Brown,Columbus,KY,20350,Casey Miller,+1-824-591-4945,+1-709-797-3344,+1-437-672-5161,casey.miller1047@sample.org,2022-07-30,2023-09-19,Prospect
1000048,Alex,Davis,Cincinnati,PA,55293,Canada,Riley,Martinez,Dayton,IN,69878,Alex Davis,+1-509-403-7302,+1-694-309-4886,+1-590-785-6881,alex.davis1048@example.com,2023-03-23,2023-10-30,Prospect
1000049,Riley,Smith,Toledo,OH,89482,Canada,Jamie,Jones,Cleveland,KY,89569,Riley Smith,+1-560-424-4115,+1-835-456-3240,+1-843-299-1645,riley.smith1049@example.com,2021-09-24,2024-03-27,Active
